up-to-date,16
emerging,61
technologiescreate,4
durable,4
tested,6
codeleave,2
behind,25
started,6
withwhat,4
you'll,14
bring,7
to,33
the,48
team:bachelor,2
computer,719
science,297
demonstrable,11
experience1-2,2
experienceknowledge,10
structuresknowledge,2
angularjs,32
or,58
js,22
framework,4
practices,56
patterns,51
commonly,5
librariesexperience,5
mobile-friendly,4
approaches,55
responsive,48
adaptive,24
systems;,17
git,15
preferreddemonstrated,4
technology,103
gone,3
monday,11
wondered,1
“why,1
am,5
here”?,1
wondered,5
can't,1
doing,76
love?,1
here,29
love,154
enjoy,96
coming,12
time!,1
encourage,55
fun,105
love.,7
developer.,28
smart,19
robust,51
websites,25
description,94
externally-facing,1
internally-facing,1
qualified,28
lifecycle,155
support.,30
experience,560
background,10
have:,16
proficiency,63
projectsexperience,1
service,252
preferably,62
laravel,2
codeigniter,1
frameworksexperience,11
sql.,9
must,92
proficient,38
interaction,39
techniquesability,1
and/or,482
it,63
preferred,59
with:,11
mongodbagile,1
extreme,8
methodologiesxunit,1
frameworksapache,1
nginxsvn,1
hg,1
git,37
versioning,7
technologiesshell,1
scripting,8
bash,1
powershell,7
etc.)mobile,1
app,38
developmentdeveloping,1
node.jsodata,1
rest,90
iso,18
standardjavascript,1
react,37
&,655
native,3
express,4
restify,1
benefits,180
include,239
competitive,186
compensation,11
medical/dental/vision/disability,1
insurance,115
options,18
pto,1
holidays,9
gym,4
telecommute/remote,1
options,47
nyansa,8
enthusiastic,25
network,202
new,13
vendor-agnostic,5
analytics,105
purpose,42
built,79
cios,5
helpdesk,5
personnel,22
managing,98
heterogeneous,7
environments.,23
product,35
voyance,3
focused,214
helping,133
staff,122
gain,48
conditions,13
behavior,19
issues,208
impact,171
performance.,33
nyansa,3
funded,8
compensation,57
package,14
stock,38
benefits,56
catered,26
lunch,11
we’re,77
located,79
within,583
1,68
min,4
walk,17
alto,5
caltrain,3
station,5
area,86
downtown,33
alto.,3
team,107
made,62
group,100
intellectual,9
don't,18
themselves,13
seriously.,8
responsibilities:design,6
implement,245
applicationsimplement,2
collectors,2
infrastructure,125
servers,33
vendor,30
apis,42
snmp,2
syslogrequirements:strong,2
c/c++,70
pythondeep,2
networking,121
protocols,72
tcp/ip,17
dhcp,4
dns,8
radius,2
snmpexperience,2
wi-fi,3
stackexperience,2
multi-core/multi-thread,2
programminghigh,2
competency,11
linux/unix,11
environmentbs,2
cs,14
fieldpluses:proficiency,2
javaworking,4
intel,2
dpdk,2
q2,3
ambitious,101
adaptable,18
professional,45
services,170
in,220
collaborative,26
extend,19
customize,9
platform,50
meet,265
financial,28
institution,3
customers.,3
pages,3
components,36
interacting,17
apis,99
platform,55
reading/writing,1
schema.,3
responsibilities:review,1
cases,28
specifications,53
statement,30
workdesign,1
extensions,4
leverage,58
wedge,1
frameworkimplement,1
componentsimplement,1
front,76
pagessupport,1
resolve,117
mannerdeploy,1
environmentsaccurately,1
track,107
spent,5
projectsaccurately,1
status,166
projectsresponsible,1
ensuring,79
security,68
availability,19
confidentiality,15
privacy,7
policies,48
controls,15
adhered,1
towork,3
collaboratively,37
othersexperience,1
and,60
knowledge:3,1
5,105
experienceproficient,6
pythonproficient,1
sqlproficient,5
cssdemonstrated,1
apply,238
principals,1
exercising,1
pragmatism,1
deadlinesstrong,4
analytical,160
skillseffective,3
contributing,50
environmentoccasional,1
availability,27
on-call/emergency,1
supportability,4
flexible,96
hours,64
deadlines,37
off-hours,2
installations,2
engineer,117
assurance,52
san,72
jose,3
ca.,15
translate,47
wireframes,5
actual,9
visual,23
major,13
responsibilities:develop,17
featuresbuild,4
useensure,2
feasibility,13
designsoptimize,2
stakeholderscreate,2
quality,511
mockups,12
prototypeshelp,2
backend,69
troubleshootingstay,2
technologieskey,2
requirements:b.s.,4
cs/ee/cee,2
minimum,85
1-3,5
m.s,3
1-2,15
highly,408
preferredadvanced,2
javascript,39
knowledge.,8
strong,211
es6,8
preferredproficient,5
client-side,27
frameworks/libs:,2
react,50
emberjs,2
backbone,13
jquery,7
dojo,2
angularjs,2
d3.proficient,2
markup,3
html5,45
css3good,2
css,61
pre-processors,2
sass,2
lessfamiliarity,2
webpack,4
grunt,2
gulpstrong,2
nodejsgood,2
git.ability,2
idea,18
beautiful,6
user-friendly,10
implementation,235
strongly,46
desiredexperience,4
c/c++,31
bonusexperience,2
sketch,2
photoshop,5
balsamiq,2
bonus,27
current,9
contingent,13
workers,10
click,29
search,31
posting,22
title.,5
iheartmedia,2
develops,41
enhances,24
maintains,70
components.,17
responsibilitiesserves,4
expert,49
object-oriented,93
component-based,3
reuse;,3
applies,27
driven,110
works,94
automating,25
standardizing,3
practices.sets,2
achieves,5
schedules;,3
native,20
apps.eliminates,2
impediments,9
performs,30
reviews.builds,2
intermediate,15
complex,15
components,169
analyzing,9
creating,5
designing,179
coding,65
products.creates,2
executes,13
installation,20
scripts.designs,2
enhancements,89
products.delivers,2
defects;,3
identifies,13
resolves,25
errors,8
problems.creates,2
documents,48
component,48
specifications,136
detailed,54
designs,93
architects,12
architecture;,4
translates,8
design.identifies,2
risks,54
issues;,10
mitigation,5
plans,191
processes.builds,2
delivers,54
phase,26
exit,4
review,104
items;,3
follow,64
ccit,3
delivery.works,2
iheartmedia’s,3
environment.qualificationsability,2
architect,37
automation,28
framework,60
selenium,21
appium,6
source,199
technologiescan,2
automated,180
load,30
suites,10
exercise,18
iheartradio’s,3
applicationdemonstrated,2
in-depth,43
delivery,149
cyclestrong,2
utilize,42
techniques,91
troubleshoot,53
